" ","Player (18)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Cunningham                     Cade Cunningham","PG","24","$46,394,100","30.00%","$46,394,100","$46,394,100","$46,394,100","$46,394,100","2030"
"2","Harris                     Tobias Harris","PF","33","$26,634,146","17.22%","$26,634,146","$26,634,146","$26,634,146","$26,634,146","2026"
"3","Robinson                     Duncan Robinson","SF","31","$16,834,692","10.89%","$16,834,692","$16,834,692","$16,834,692","$16,834,692","2028"
"4","Stewart                     Isaiah Stewart","C","24","$15,000,000","9.70%","$16,000,000","$15,000,000","$15,000,000","$15,000,000","2028"
"5","LeVert                     Caris LeVert","SG","31","$14,104,000","9.12%","$14,104,000","$14,104,000","$14,104,000","$14,104,000","2027"
"6","Ivey                     Jaden Ivey","SG","23","$10,107,163","6.54%","$10,107,163","$10,107,163","$10,107,163","$10,107,163","2026"
"7","Thompson                     Ausar Thompson","SG","23","$8,775,000","5.67%","$8,775,000","$8,775,000","$8,775,000","$8,775,000","2027"
"8","Holland II                     Ron Holland II","SF","20","$8,657,280","5.60%","$8,657,280","$8,657,280","$8,657,280","$8,657,280","2028"
"9","Duren                     Jalen Duren","C","22","$6,483,144","4.19%","$6,483,144","$6,483,144","$6,483,144","$6,483,144","2026"
"10","Reed                     Paul Reed","C","26","$5,335,894","3.45%","$5,335,894","$5,335,894","$5,335,894","$5,335,894","2027"
"11","Sasser                     Marcus Sasser","PG","25","$2,886,720","1.87%","$2,886,720","$2,886,720","$2,886,720","$2,886,720","2027"
"12","Green                     Javonte Green","SG","32","$2,296,274","1.48%","$2,296,274","$2,296,274","$2,874,436","$2,874,436","2026"
"13","Jones                     Isaac Jones","C","25","$1,955,377","1.26%","$2,191,897","$2,191,897","$1,955,377","$1,955,377","2026"
"14","Klintman                     Bobi Klintman","SF","22","$1,955,377","1.26%","$1,955,377","$1,955,377","$1,955,377","$1,955,377","2028"
"15","Lanier                     Chaz Lanier","SG","24","$1,272,870","0.82%","$1,272,870","$1,272,870","$1,272,870","$1,272,870","2029"
"16","Moore Jr.                     Wendell Moore Jr.","SG","24","Two-Way","'-","'-","'-","$85,300","$85,300","2026"
"17","Jenkins                     Daniss Jenkins","G","24","Two-Way","'-","'-","'-","$85,300","$85,300","2026"
"18","Smith III                     Tolu Smith III","F","25","Two-Way","'-","'-","'-","'-","'-","2026"

