" ","Player (17)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed","Free Agent                         Year"
"1","Barnes                     Scottie Barnes","PF","24","$38,661,750","25.00%","$38,661,750","$38,661,750","$38,661,750","$38,661,750","2030"
"2","Ingram                     Brandon Ingram","SF","28","$38,095,238","24.63%","$38,095,238","$38,095,238","$38,095,238","$38,095,238","2028"
"3","Quickley                     Immanuel Quickley","PG","26","$32,500,000","21.02%","$35,000,000","$32,500,000","$32,500,000","$32,500,000","2029"
"4","Barrett                     R.J. Barrett","SG","25","$27,705,357","17.92%","$31,071,429","$27,705,357","$27,705,357","$27,705,357","2027"
"5","Poeltl                     Jakob Poeltl","C","30","$19,500,000","12.61%","$20,000,000","$19,500,000","$19,500,000","$19,500,000","2030"
"6","Agbaji                     Ochai Agbaji","SF","25","$6,383,525","4.13%","$6,383,525","$6,383,525","$6,383,525","$6,383,525","2026"
"7","Murray-Boyles                     Collin Murray-Boyles","PF","20","$6,332,520","4.09%","$6,332,520","$6,332,520","$6,332,520","$6,332,520","2029"
"8","Dick                     Gradey Dick","SG","22","$4,990,560","3.23%","$4,990,560","$4,990,560","$4,990,560","$4,990,560","2027"
"9","Walter                     Ja'Kobe Walter","SG","21","$3,638,160","2.35%","$3,638,160","$3,638,160","$3,638,160","$3,638,160","2028"
"10","Mamukelashvili                     Sandro Mamukelashvili","C","26","$2,461,463","1.59%","$2,461,463","$2,461,463","$2,461,463","$2,461,463","2027"
"11","Temple                     Garrett Temple","SG","39","$2,296,274","1.48%","$2,296,274","$2,296,274","$3,634,153","$3,634,153","2026"
"12","Battle                     Jamison Battle","SF","24","$1,955,377","1.26%","$2,191,897","$2,191,897","$1,955,377","$1,955,377","2027"
"13","Mogbo                     Jonathan Mogbo","C","24","$1,955,377","1.26%","$1,955,377","$1,955,377","$1,955,377","$1,955,377","2027"
"14","Shead                     Jamal Shead","PG","23","$1,955,377","1.26%","$1,955,377","$1,955,377","$1,955,377","$1,955,377","2027"
"15","Lawson                     A.J. Lawson","F","25","Two-Way","'-","'-","'-","$85,300","$85,300","2026"
"16","Martin                     Alijah Martin","SG","24","Two-Way","'-","'-","'-","$85,300","$85,300","2026"
"17","Hepburn                     Chucky Hepburn","G","22","Two-Way","'-","'-","'-","$85,300","$85,300","2026"

