" ","Player (11)","Pos","Age","Cap Hit","Cap Hit Pct                         League Cap","Apron Salary","Luxury Tax","Cash                         Total","Cash                         Guaranteed"
"1","Bradley                     Tony Bradley","C","28","$1,335,225","0.86%","$1,335,225","$1,335,225","$1,335,225","'-"
"2","Wiseman                     James Wiseman","C","24","$1,000,000","0.65%","$1,000,000","$1,000,000","$1,000,000","'-"
"3","Robinson-Earl                     Jeremiah Robinson-Earl","PF","25","$325,365","0.21%","$325,365","$325,365","$325,365","'-"
"4","Morris                     Monte Morris","PG","30","$321,184","0.21%","$321,184","$321,184","$321,184","'-"
"5","Mathews                     Garrison Mathews","SG","29","$297,355","0.19%","$297,355","$297,355","$297,355","'-"
"6","McClung                     Mac McClung","PG","27","$164,060","0.11%","$164,060","$164,060","$164,060","'-"
"7","Martin                     Cody Martin","SF","30","$131,970","0.09%","$131,970","$131,970","$165,197","$165,197"
"8","Mathews                     Garrison Mathews","SG","29","$131,970","0.09%","$131,970","$131,970","$165,197","$165,197"
"9","Robinson-Earl                     Jeremiah Robinson-Earl","PF","25","$131,970","0.09%","$131,970","$131,970","$141,463","$141,463"
"10","Robinson-Earl                     Jeremiah Robinson-Earl","PF","25","$131,970","0.09%","$131,970","$131,970","$141,463","$141,463"
"11","McGlothan                     Gabe McGlothan","PF","30","$73,153","0.05%","$131,970","$131,970","$73,153","$73,153"

