"Player (11 of 15 + 1 of 3 TW)","Pos","Age","Type","Cap Hit","Cap Hit Pct                 League Cap","Base Salary","Incentives                 Likely","Incentives                 Unlikely","Trade Bonus                 Proration","Guaranteed"
"Leonard                   Kawhi Leonard","SF","35","VET-EXT","$50,300,000","30.30%","$50,300,000","'-","'-","'-","$50,300,000"
"Garland                   Darius Garland","PG","27","DRK-EXT","$42,166,510","25.40%","$42,166,510","'-","'-","'-","$42,166,510"
"Zubac                   Ivica Zubac","C","29","VET-EXT","$19,550,160","11.78%","$19,550,160","'-","'-","'-","$19,550,160"
"Bogdanovic                   Bogdan Bogdanovic","SG","34","VET-EXT","$16,020,000","9.65%","$16,020,000","'-","'-","'-","'-"
"Jones Jr.                   Derrick Jones Jr.","SF","29","FA","$10,476,190","6.31%","$10,476,190","'-","'-","'-","$10,476,190"
"Lopez                   Brook Lopez","C","38","FA","$9,187,500","5.53%","$9,187,500","'-","'-","'-","'-"
"Batum                   Nicolas Batum","SF","38","FA","$5,881,680","3.54%","$5,881,680","'-","'-","'-","'-"
"Dunn                   Kris Dunn","PG","32","S&T","$5,684,800","3.42%","$5,684,800","'-","'-","'-","'-"
"Beal                   Bradley Beal","SG","33","FA","$5,621,700","3.39%","$5,621,700","'-","'-","'-","$5,621,700"
"Konan Niederhauser                   Yanic Konan Niederhauser","F","23","RK-1ST","$2,880,960","1.74%","$2,880,960","'-","'-","'-","$2,880,960"
"Christie                   Cameron Christie","SG","21","RK-2ND","$2,296,271","1.38%","$2,296,271","'-","'-","'-","'-"
"Sanders                   Kobe Sanders","G","24","2W","Two-Way","'-","'-","'-","'-","'-","'-"

